match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,29.5,1.06,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,39.5,1.1400000000000001,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,49.5,1.28,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,59.5,1.48,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,69.5,1.7,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,71.5,1.88,1.88,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,79.5,2.15,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,89.5,2.85,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,Baltimore Ravens,99.5,3.8,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Charlie Kolar,Baltimore Ravens,Detroit Lions,9.5,1.78,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Charlie Kolar,Baltimore Ravens,Detroit Lions,19.5,2.5,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Charlie Kolar,Baltimore Ravens,Detroit Lions,29.5,3.9,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,Charlie Kolar,Baltimore Ravens,Detroit Lions,39.5,6.8,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,David Montgomery,Detroit Lions,Baltimore Ravens,9.5,1.7,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,David Montgomery,Detroit Lions,Baltimore Ravens,12.5,1.88,1.88,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,David Montgomery,Detroit Lions,Baltimore Ravens,19.5,2.35,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,David Montgomery,Detroit Lions,Baltimore Ravens,29.5,3.5,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,David Montgomery,Detroit Lions,Baltimore Ravens,39.5,6,NA,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Receiving Yards,DeAndre Hopkins,Baltimore Ravens,Detroit Lions,9.5,1.48,NA,Neds
