match,player_name,player_team,market,line,over_price,agency,under_price
Buffalo Bills v Miami Dolphins,Josh Allen,Buffalo Bills,Passing Touchdowns,1.5,1.68,Pinnacle,2.16
Buffalo Bills v Miami Dolphins,Tua Tagovailoa,Miami Dolphins,Passing Touchdowns,1.5,2.3,Pinnacle,1.609
Carolina Panthers v Atlanta Falcons,Bryce Young,Carolina Panthers,Passing Touchdowns,1.5,2.67,Pinnacle,1.438
Carolina Panthers v Atlanta Falcons,Michael Penix,NA,Passing Touchdowns,1.5,2.24,Pinnacle,1.602
Charlotte v Rice,Chase Jenkins,NA,Passing Touchdowns,0.5,2.07,Pinnacle,1.74
Charlotte v Rice,Conner Harrell,NA,Passing Touchdowns,1.5,2.62,Pinnacle,1.48
Chicago Bears v Dallas Cowboys,Caleb Williams,Chicago Bears,Passing Touchdowns,1.5,1.869,Pinnacle,1.869
Chicago Bears v Dallas Cowboys,Dak Prescott,Dallas Cowboys,Passing Touchdowns,1.5,1.699,Pinnacle,2.08
Cleveland Browns v Green Bay Packers,Joe Flacco,Cleveland Browns,Passing Touchdowns,1.5,3.05,Pinnacle,1.348
Cleveland Browns v Green Bay Packers,Jordan Love,Green Bay Packers,Passing Touchdowns,1.5,1.909,Pinnacle,1.833
Jacksonville Jaguars v Houston Texans,C.J. Stroud,Houston Texans,Passing Touchdowns,1.5,2.5,Pinnacle,1.495
Jacksonville Jaguars v Houston Texans,Trevor Lawrence,Jacksonville Jaguars,Passing Touchdowns,1.5,2.26,Pinnacle,1.595
Los Angeles Chargers v Denver Broncos,Bo Nix,Denver Broncos,Passing Touchdowns,1.5,2.45,Pinnacle,1.51
Los Angeles Chargers v Denver Broncos,Justin Herbert,Los Angeles Chargers,Passing Touchdowns,1.5,1.98,Pinnacle,1.769
Minnesota Vikings v Cincinnati Bengals,Carson Wentz,Minnesota Vikings,Passing Touchdowns,1.5,2.62,Pinnacle,1.454
Minnesota Vikings v Cincinnati Bengals,Jake Browning,Cincinnati Bengals,Passing Touchdowns,1.5,2.2,Pinnacle,1.625
New England Patriots v Pittsburgh Steelers,Aaron Rodgers,Pittsburgh Steelers,Passing Touchdowns,1.5,2.06,Pinnacle,1.714
New England Patriots v Pittsburgh Steelers,Drake Maye,New England Patriots,Passing Touchdowns,1.5,2.48,Pinnacle,1.5
New York Giants v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Touchdowns,1.5,1.641,Pinnacle,2.17
New York Giants v Kansas City Chiefs,Russell Wilson,New York Giants,Passing Touchdowns,1.5,2.34,Pinnacle,1.555
Philadelphia Eagles v Los Angeles Rams,Jalen Hurts,Philadelphia Eagles,Passing Touchdowns,1.5,2.7,Pinnacle,1.431
Philadelphia Eagles v Los Angeles Rams,Matthew Stafford,Los Angeles Rams,Passing Touchdowns,1.5,2.07,Pinnacle,1.709
Tennessee Titans v Indianapolis Colts,Cam Ward,Tennessee Titans,Passing Touchdowns,1.5,2.61,Pinnacle,1.456
Tennessee Titans v Indianapolis Colts,Daniel Jones,Indianapolis Colts,Passing Touchdowns,1.5,2.56,Pinnacle,1.473
