match,player_name,player_team,market,line,over_price,agency,under_price
Los Angeles Chargers v Philadelphia Eagles,A.J. Brown,Philadelphia Eagles,Receiving Yards,62.5,1.961,Pinnacle,1.862
Los Angeles Chargers v Philadelphia Eagles,Dallas Goedert,Philadelphia Eagles,Receiving Yards,31.5,1.909,Pinnacle,1.909
Los Angeles Chargers v Philadelphia Eagles,DeVonta Smith,Philadelphia Eagles,Receiving Yards,56.5,1.9,Pinnacle,1.917
Los Angeles Chargers v Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,Receiving Yards,7.5,1.884,Pinnacle,1.934
Los Angeles Chargers v Philadelphia Eagles,Keenan Allen,Los Angeles Chargers,Receiving Yards,38.5,1.909,Pinnacle,1.909
Los Angeles Chargers v Philadelphia Eagles,Ladd McConkey,Los Angeles Chargers,Receiving Yards,53.5,1.961,Pinnacle,1.862
Los Angeles Chargers v Philadelphia Eagles,Omarion Hampton,Los Angeles Chargers,Receiving Yards,11.5,1.869,Pinnacle,1.943
Los Angeles Chargers v Philadelphia Eagles,Oronde Gadsden II,Los Angeles Chargers,Receiving Yards,37.5,2.07,Pinnacle,1.769
Los Angeles Chargers v Philadelphia Eagles,Quentin Johnston,Los Angeles Chargers,Receiving Yards,33.5,1.892,Pinnacle,1.934
Los Angeles Chargers v Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,Receiving Yards,16.5,1.909,Pinnacle,1.909
Los Angeles Chargers v Philadelphia Eagles,Tre' Harris,NA,Receiving Yards,10.5,1.909,Pinnacle,1.909
