match,start_time,market,home_team,home_win,away_team,away_win,margin,agency
New York Jets v Denver Broncos,2025-10-12T13:30:00Z,Head To Head,New York Jets,4,Denver Broncos,1.27,1.037,Pointsbet
Indianapolis Colts v Arizona Cardinals,2025-10-12T17:00:00Z,Head To Head,Indianapolis Colts,1.2,Arizona Cardinals,4.75,1.044,Pointsbet
New Orleans Saints v New England Patriots,2025-10-12T17:00:00Z,Head To Head,New Orleans Saints,2.65,New England Patriots,1.5,1.044,Pointsbet
Baltimore Ravens v Los Angeles Rams,2025-10-12T17:00:00Z,Head To Head,Baltimore Ravens,4,Los Angeles Rams,1.27,1.037,Pointsbet
Carolina Panthers v Dallas Cowboys,2025-10-12T17:00:00Z,Head To Head,Carolina Panthers,2.4,Dallas Cowboys,1.59,1.046,Pointsbet
Miami Dolphins v Los Angeles Chargers,2025-10-12T17:00:00Z,Head To Head,Miami Dolphins,2.75,Los Angeles Chargers,1.48,1.039,Pointsbet
Pittsburgh Steelers v Cleveland Browns,2025-10-12T17:00:00Z,Head To Head,Pittsburgh Steelers,1.33,Cleveland Browns,3.4,1.046,Pointsbet
Jacksonville Jaguars v Seattle Seahawks,2025-10-12T17:00:00Z,Head To Head,Jacksonville Jaguars,1.9,Seattle Seahawks,1.9,1.053,Pointsbet
Las Vegas Raiders v Tennessee Titans,2025-10-12T20:05:00Z,Head To Head,Las Vegas Raiders,1.48,Tennessee Titans,2.75,1.039,Pointsbet
Green Bay Packers v Cincinnati Bengals,2025-10-12T20:25:00Z,Head To Head,Green Bay Packers,1.08,Cincinnati Bengals,8.5,1.044,Pointsbet
Tampa Bay Buccaneers v San Francisco 49ers,2025-10-12T20:25:00Z,Head To Head,Tampa Bay Buccaneers,1.56,San Francisco 49ers,2.5,1.041,Pointsbet
Kansas City Chiefs v Detroit Lions,2025-10-13T00:20:00Z,Head To Head,Kansas City Chiefs,1.74,Detroit Lions,2.15,1.04,Pointsbet
Atlanta Falcons v Buffalo Bills,2025-10-13T23:15:00Z,Head To Head,Atlanta Falcons,2.85,Buffalo Bills,1.44,1.045,Pointsbet
Washington Commanders v Chicago Bears,2025-10-14T00:15:00Z,Head To Head,Washington Commanders,1.44,Chicago Bears,2.85,1.045,Pointsbet
