match,player_name,player_team,market,line,over_price,under_price,margin,agency,EventKey,MarketKey,OutcomeKey,OutcomeKeyUnders
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,199.5,1.18,NA,NA,Pointsbet,2439319,96774626,16,NA
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,224.5,1.4,NA,NA,Pointsbet,2439319,96774626,17,NA
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,249.5,1.8,NA,NA,Pointsbet,2439319,96774626,18,NA
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,250.5,1.87,1.87,1.07,Pointsbet,2439319,96765633,13,14
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,274.5,2.5,NA,NA,Pointsbet,2439319,96774626,19,NA
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,299.5,3.9,NA,NA,Pointsbet,2439319,96774626,20,NA
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,324.5,5.75,NA,NA,Pointsbet,2439319,96774626,21,NA
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Passing Yards,349.5,10.5,NA,NA,Pointsbet,2439319,96774626,22,NA
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,174.5,1.21,NA,NA,Pointsbet,2439319,96774626,2,NA
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,199.5,1.48,NA,NA,Pointsbet,2439319,96774626,3,NA
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,220.5,1.87,1.87,1.07,Pointsbet,2439319,96765633,15,16
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,224.5,1.95,NA,NA,Pointsbet,2439319,96774626,4,NA
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,249.5,2.75,NA,NA,Pointsbet,2439319,96774626,5,NA
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,274.5,4.2,NA,NA,Pointsbet,2439319,96774626,6,NA
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,299.5,7,NA,NA,Pointsbet,2439319,96774626,7,NA
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,324.5,12,NA,NA,Pointsbet,2439319,96774626,8,NA
