match,player_name,player_team,market,line,over_price,under_price,margin,agency,EventKey,MarketKey,OutcomeKey,OutcomeKeyUnders
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,59.5,1.2,NA,NA,Pointsbet,2527329,100633177,5,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,69.5,1.33,NA,NA,Pointsbet,2527329,100633177,6,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,79.5,1.53,NA,NA,Pointsbet,2527329,100633177,7,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,89.5,1.8,NA,NA,Pointsbet,2527329,100633177,8,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,90.5,1.83,1.9,1.073,Pointsbet,2527329,100633179,5,6
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,99.5,2.15,NA,NA,Pointsbet,2527329,100633177,9,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,109.5,2.6,NA,NA,Pointsbet,2527329,100633177,10,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,119.5,3.4,NA,NA,Pointsbet,2527329,100633177,11,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,129.5,4.3,NA,NA,Pointsbet,2527329,100633177,12,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,139.5,5.75,NA,NA,Pointsbet,2527329,100633177,13,NA
Cincinnati Bengals v Baltimore Ravens,Ja'marr Chase,NA,Receiving Yards,149.5,7.5,NA,NA,Pointsbet,2527329,100633177,14,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,39.5,1.18,NA,NA,Pointsbet,2527329,100633177,19,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,49.5,1.33,NA,NA,Pointsbet,2527329,100633177,20,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,59.5,1.56,NA,NA,Pointsbet,2527329,100633177,21,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,69.5,1.87,NA,NA,Pointsbet,2527329,100633177,22,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,70.5,1.87,1.87,1.07,Pointsbet,2527329,100633179,3,4
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,79.5,2.3,NA,NA,Pointsbet,2527329,100633177,23,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,89.5,2.9,NA,NA,Pointsbet,2527329,100633177,24,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,99.5,3.8,NA,NA,Pointsbet,2527329,100633177,25,NA
Cincinnati Bengals v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receiving Yards,109.5,5,NA,NA,Pointsbet,2527329,100633177,26,NA
