match,player_name,player_team,market,line,over_price,under_price,margin,agency
Buffalo Bills v New England Patriots,Drake Maye,New England Patriots,Passing Touchdowns,0.5,1.2,NA,NA,Sportsbet
Buffalo Bills v New England Patriots,Drake Maye,New England Patriots,Passing Touchdowns,1.5,2.29,1.58,1.07,Sportsbet
Buffalo Bills v New England Patriots,Drake Maye,New England Patriots,Passing Touchdowns,1.5,2.2,1.58,1.087,Sportsbet
Buffalo Bills v New England Patriots,Drake Maye,New England Patriots,Passing Touchdowns,2.5,5.5,NA,NA,Sportsbet
Buffalo Bills v New England Patriots,Josh Allen,Buffalo Bills,Passing Touchdowns,0.5,1.1,NA,NA,Sportsbet
Buffalo Bills v New England Patriots,Josh Allen,Buffalo Bills,Passing Touchdowns,1.5,1.75,1.99,1.074,Sportsbet
Buffalo Bills v New England Patriots,Josh Allen,Buffalo Bills,Passing Touchdowns,1.5,1.72,1.99,1.084,Sportsbet
Buffalo Bills v New England Patriots,Josh Allen,Buffalo Bills,Passing Touchdowns,2.5,3.75,NA,NA,Sportsbet
Buffalo Bills v New England Patriots,Josh Allen,Buffalo Bills,Passing Touchdowns,3.5,11,NA,NA,Sportsbet
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Touchdowns,0.5,1.2,NA,NA,Sportsbet
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Touchdowns,1.5,2.29,1.58,1.07,Sportsbet
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Touchdowns,1.5,2.25,1.58,1.077,Sportsbet
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Touchdowns,2.5,5.5,NA,NA,Sportsbet
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Passing Touchdowns,3.5,20,NA,NA,Sportsbet
