match,player_name,player_team,market,line,over_price,under_price,margin,agency
Dallas Cowboys v Green Bay Packers,Dontayvion Wicks,Green Bay Packers,Receptions,0.5,1.01,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Dontayvion Wicks,Green Bay Packers,Receptions,1.5,1.12,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Dontayvion Wicks,Green Bay Packers,Receptions,2.5,1.4,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Dontayvion Wicks,Green Bay Packers,Receptions,3.5,2.16,1.67,1.062,Sportsbet
Dallas Cowboys v Green Bay Packers,Dontayvion Wicks,Green Bay Packers,Receptions,3.5,2,1.67,1.099,Sportsbet
Dallas Cowboys v Green Bay Packers,Dontayvion Wicks,Green Bay Packers,Receptions,4.5,3.3,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Dontayvion Wicks,Green Bay Packers,Receptions,5.5,5.5,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,1.5,1.02,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,2.5,1.08,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,3.5,1.28,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,4.5,1.7,2.12,1.06,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,4.5,1.62,2.12,1.089,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,5.5,2.25,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,6.5,3.3,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,7.5,5,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,George Pickens,Dallas Cowboys,Receptions,8.5,8,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,1.5,1.01,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,2.5,1.03,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,3.5,1.11,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,4.5,1.3,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,5.5,1.57,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,6.5,2.16,1.67,1.062,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,6.5,2.1,1.67,1.075,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,7.5,2.88,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,8.5,4.2,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jake Ferguson,Dallas Cowboys,Receptions,9.5,6,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jalen Tolbert,Dallas Cowboys,Receptions,0.5,1.02,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jalen Tolbert,Dallas Cowboys,Receptions,1.5,1.17,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jalen Tolbert,Dallas Cowboys,Receptions,2.5,1.65,2.19,1.063,Sportsbet
Dallas Cowboys v Green Bay Packers,Jalen Tolbert,Dallas Cowboys,Receptions,2.5,1.62,2.19,1.074,Sportsbet
Dallas Cowboys v Green Bay Packers,Jalen Tolbert,Dallas Cowboys,Receptions,3.5,2.4,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jalen Tolbert,Dallas Cowboys,Receptions,4.5,4,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Jalen Tolbert,Dallas Cowboys,Receptions,5.5,7,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,0.5,1.02,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,1.5,1.14,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,2.5,1.48,2.6,1.06,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,2.5,1.45,2.6,1.074,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,3.5,2.1,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,4.5,3.25,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,5.5,5,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Javonte Williams,Dallas Cowboys,Receptions,6.5,9,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Josh Jacobs,Green Bay Packers,Receptions,0.5,1.07,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Josh Jacobs,Green Bay Packers,Receptions,1.5,1.4,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Josh Jacobs,Green Bay Packers,Receptions,2.5,2.2,1.65,1.061,Sportsbet
Dallas Cowboys v Green Bay Packers,Josh Jacobs,Green Bay Packers,Receptions,2.5,2.1,1.65,1.082,Sportsbet
Dallas Cowboys v Green Bay Packers,Josh Jacobs,Green Bay Packers,Receptions,3.5,3.6,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,Josh Jacobs,Green Bay Packers,Receptions,4.5,6.5,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,KaVontae Turpin,Dallas Cowboys,Receptions,0.5,1.02,NA,NA,Sportsbet
Dallas Cowboys v Green Bay Packers,KaVontae Turpin,Dallas Cowboys,Receptions,1.5,1.12,NA,NA,Sportsbet
