match,start_time,player_name,player_team,market,line,over_price,under_price,margin,agency
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Patrick Mahomes,Kansas City Chiefs,Passing Attempts,29.5,1.1,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Patrick Mahomes,Kansas City Chiefs,Passing Attempts,34.5,1.55,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Patrick Mahomes,Kansas City Chiefs,Passing Attempts,35.5,1.75,2,1.071,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Patrick Mahomes,Kansas City Chiefs,Passing Attempts,39.5,2.8,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Patrick Mahomes,Kansas City Chiefs,Passing Attempts,44.5,7,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Patrick Mahomes,Kansas City Chiefs,Passing Attempts,49.5,17,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Trevor Lawrence,Jacksonville Jaguars,Passing Attempts,29.5,1.21,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Trevor Lawrence,Jacksonville Jaguars,Passing Attempts,34.5,1.9,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Trevor Lawrence,Jacksonville Jaguars,Passing Attempts,35.5,2.15,1.65,1.071,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Trevor Lawrence,Jacksonville Jaguars,Passing Attempts,39.5,3.9,NA,NA,TAB
Jacksonville Jaguars v Kansas City Chiefs,2025-10-07T00:15:00.000Z,Trevor Lawrence,Jacksonville Jaguars,Passing Attempts,44.5,10,NA,NA,TAB
