match,start_time,player_name,player_team,market,line,over_price,under_price,margin,agency
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,19.5,1.05,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,29.5,1.18,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,39.5,1.36,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,49.5,1.65,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,59.5,2,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,60.5,2.1,1.68,1.071,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,69.5,2.55,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,79.5,3.3,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Brian Thomas Jr.,Jacksonville Jaguars,Receiving Yards,89.5,4.5,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,19.5,1.11,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,29.5,1.32,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,39.5,1.6,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,49.5,2,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,50.5,2.1,1.68,1.071,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,59.5,2.6,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,69.5,3.5,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,79.5,4.8,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Christian Kirk,Jacksonville Jaguars,Receiving Yards,89.5,7,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,9.5,1.08,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,19.5,1.32,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,29.5,1.72,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,35.5,2.05,1.72,1.069,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,39.5,2.25,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,49.5,3.1,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,59.5,4.5,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,69.5,6.5,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,79.5,9,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Cole Kmet,Chicago Bears,Receiving Yards,89.5,13,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,9.5,1.32,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,19.5,1.9,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,25.5,2.4,1.53,1.07,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,29.5,2.8,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,39.5,4.5,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,49.5,7,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,59.5,11,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,D'Andre Swift,Chicago Bears,Receiving Yards,69.5,17,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,29.5,1.09,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,39.5,1.23,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,49.5,1.44,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,59.5,1.72,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,69.5,2.05,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,70.5,2.15,1.65,1.071,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,79.5,2.6,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,89.5,3.3,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,DJ Moore,Chicago Bears,Receiving Yards,99.5,4.25,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Evan Engram,Jacksonville Jaguars,Receiving Yards,9.5,1.05,NA,NA,TAB
Chicago Bears v Jacksonville Jaguars,2024-10-13T13:30:00.000Z,Evan Engram,Jacksonville Jaguars,Receiving Yards,19.5,1.24,NA,NA,TAB
